lon,lat,mean_skt,min_skt,mean_wind,max_wind
0.0,14.0,31.02196,18.006866,3.031054,6.9593697
0.0,15.0,32.578835,18.332672,3.533886,8.043838
0.0,16.0,32.958492,17.619537,3.675771,8.509076
0.0,17.0,31.63575,15.6354065,3.779239,10.106556
0.0,18.0,32.600857,15.500732,3.8078296,10.556886
0.0,19.0,30.231878,12.602814,3.6066546,9.844728
0.0,20.0,31.026428,10.823944,3.7954235,11.448501
0.0,21.0,30.297031,8.64679,3.7340462,10.737239
0.0,22.0,29.427126,9.652313,3.6418476,9.783765
0.0,23.0,28.640524,8.541016,3.6093175,9.210542
0.0,24.0,28.729967,8.262726,3.787116,10.091568
0.0,25.0,28.400902,8.003876,4.049992,11.209657
0.0,26.0,27.703678,5.5477295,4.037863,10.746908
0.0,27.0,28.364332,5.825836,4.0077057,10.8970175
0.0,28.0,27.434677,5.5667725,4.1651773,12.470087
0.0,29.0,26.410551,4.8300476,3.8394344,12.433139
0.0,30.0,23.109573,2.555664,3.8718286,13.622367
0.0,31.0,23.03793,1.812439,3.6600943,13.932552
0.0,32.0,21.546644,-0.3241577,3.481035,13.303532
0.0,33.0,18.933424,-3.44458,2.77994,11.4728365
0.0,34.0,18.205198,-3.9599304,3.0852962,12.701405
0.0,35.0,16.461285,-3.4775696,1.583052,8.2598505
0.0,36.0,19.196377,10.391724,3.249506,13.574278
0.0,37.0,19.4371,13.124054,5.524293,17.363264
0.0,38.0,19.552893,12.666077,4.777137,15.845059
0.0,39.0,19.008179,11.636322,3.098196,13.886174
0.0,40.0,17.50277,4.4579773,1.8014845,11.973818
0.0,41.0,15.909829,-2.4960022,2.8388247,10.530253
0.0,42.0,15.043414,-4.0218506,2.0067232,9.011289
0.0,43.0,8.10911,-12.087067,1.0613432,4.996757
0.0,44.0,13.760468,-5.4348755,2.1107662,8.558424
0.0,45.0,14.043067,-5.9058533,2.4569523,8.099665
0.0,46.0,12.874923,-5.9875793,3.048158,9.510383
0.0,47.0,12.827822,-6.7174377,3.2953534,9.920191
0.0,48.0,12.015128,-6.3396606,3.234073,10.103473
0.0,49.0,11.455229,-5.6045837,3.1307719,9.3132925
0.0,50.0,12.876924,6.1967163,6.829624,17.534948
0.0,51.0,10.834352,-7.1361084,4.062538,12.664819
0.0,52.0,10.574295,-6.6645813,4.018906,12.456048
0.0,53.0,10.356374,-6.2980347,4.2770753,12.805833
0.0,54.0,10.260161,3.7654724,6.065328,16.631294
0.0,55.0,10.852522,4.490326,7.0130153,17.431303
0.0,56.0,10.626656,4.672516,7.326971,17.793041
0.0,57.0,10.402049,4.8077087,7.3806343,18.810913
0.0,58.0,10.26664,5.201477,7.55101,20.032852
0.0,59.0,9.999365,5.2702637,7.6467896,20.320814
0.0,60.0,10.017375,5.6716614,7.79197,20.809225
0.0,61.0,10.1935,6.5793457,7.874135,21.544704
0.0,62.0,9.88223,6.8835144,7.95426,21.909782
0.0,63.0,9.206252,6.0372314,7.966707,21.309706
0.0,64.0,8.312771,4.0087585,7.9145684,22.037354
0.0,65.0,7.94947,4.110382,7.904436,21.879387
0.0,66.0,7.7618613,3.5871277,7.9053335,21.6564
0.0,67.0,7.609562,3.8666992,7.9385867,21.784868
0.0,68.0,7.5050373,3.3547668,7.958072,22.553936
0.0,69.0,7.2538457,2.7313843,7.93601,23.00753
0.0,70.0,6.70111,2.2817993,7.857117,23.251358
0.0,71.0,6.396624,2.32901,7.8694706,23.121853
0.0,72.0,4.6644893,-0.011505127,7.642685,22.454405
0.0,73.0,2.246858,-4.1402283,7.286748,20.795473
0.0,74.0,1.7734547,-4.4265137,7.2123833,20.436602
0.0,75.0,1.7514414,-1.8655701,7.1528645,19.891048
0.0,76.0,2.0275624,-1.7445374,7.1773157,19.263828
0.0,77.0,1.9263518,-3.8992004,7.185814,20.272102
0.0,78.0,1.5805308,-13.243103,7.227512,21.287868
0.0,79.0,-2.4784486,-25.486984,6.8324223,22.033295
0.0,80.0,-6.7012763,-29.841354,6.4623556,23.021467
0.0,81.0,-9.725007,-35.890213,6.1371107,22.640095
0.0,82.0,-10.911392,-37.063324,5.9378777,20.625465
0.0,83.0,-11.582691,-37.55069,5.8645425,19.281357
0.0,84.0,-12.050331,-37.784927,5.7233477,18.892857
0.0,85.0,-12.441954,-37.567688,5.6133795,18.25849
0.0,86.0,-12.736759,-36.633163,5.5138407,18.919832
0.0,87.0,-12.912898,-38.11612,5.4654264,19.433979
0.0,88.0,-13.083781,-37.876038,5.449567,19.144375
0.0,89.0,-13.242754,-38.362762,5.452738,18.272009
0.0,90.0,-13.246645,-38.626266,0.3610948,12.171835
1.0,-90.0,-46.4445,-70.21959,0.5943188,9.768472
1.0,-89.0,-45.770454,-66.942825,6.5236225,15.039957
1.0,-88.0,-45.52596,-67.60669,6.6633024,15.485946
1.0,-87.0,-45.345448,-67.35541,7.3366113,16.490166
1.0,-86.0,-45.931408,-68.05376,7.027757,16.288876
1.0,-85.0,-45.83092,-68.99756,6.815485,15.623393
1.0,-84.0,-44.503315,-65.89876,7.017086,15.329054
1.0,-83.0,-42.493984,-63.773132,7.2420554,15.828805
1.0,-82.0,-40.551434,-63.41417,6.544105,14.991424
1.0,-81.0,-39.059708,-65.112305,7.8494864,15.964742
1.0,-80.0,-39.9826,-64.70648,7.2311673,14.788346
1.0,-79.0,-40.534904,-66.23717,6.9021573,14.170257
1.0,-78.0,-40.83232,-67.988495,6.4608645,14.9890175
1.0,-77.0,-41.001183,-67.81908,6.494448,18.530045
1.0,-76.0,-41.606777,-67.08032,6.3191504,20.018885
1.0,-75.0,-41.92436,-66.360016,5.710425,17.986631
1.0,-74.0,-37.593143,-60.72119,6.838466,20.168982
1.0,-73.0,-32.59714,-55.16974,7.228187,23.944921
1.0,-72.0,-24.330736,-49.45874,5.244075,25.741148
1.0,-71.0,-17.159052,-43.26593,5.9843984,33.06708
1.0,-70.0,-13.3655205,-40.635437,7.0548124,28.090454
1.0,-69.0,-9.839179,-35.690445,6.901811,25.790575
1.0,-68.0,-8.649939,-34.630585,6.6551175,21.121996
1.0,-67.0,-7.731123,-32.79062,6.580247,20.76815
1.0,-66.0,-6.9934688,-32.104187,6.6259356,19.027906
1.0,-65.0,-6.2621574,-31.81279,6.819784,18.104982
1.0,-64.0,-5.5269833,-31.26912,7.1276727,20.100475
1.0,-63.0,-5.264364,-29.99405,7.3771167,20.589252
1.0,-62.0,-4.871385,-28.832916,7.652168,21.556114
1.0,-61.0,-4.3230815,-27.425598,7.9326115,22.801012
1.0,-60.0,-3.7052083,-25.433441,8.223417,22.700195
1.0,-59.0,-2.996037,-25.344604,8.494256,21.859015
1.0,-58.0,-2.2454257,-20.87912,8.733935,21.010578
1.0,-57.0,-1.604488,-18.967285,8.970277,21.51514
1.0,-56.0,-1.0015825,-17.572006,9.177273,21.101736
1.0,-55.0,-0.49103034,-15.121063,9.390155,21.646954
1.0,-54.0,0.06353597,-10.661621,9.611851,21.337183
1.0,-53.0,0.77597433,-2.737915,9.800889,20.630014
1.0,-52.0,1.6611487,-0.54403687,9.969499,20.480644
1.0,-51.0,2.5970745,0.2444458,10.124729,20.780813
1.0,-50.0,3.5214765,1.2307739,10.207469,20.951702
1.0,-49.0,4.590378,1.9371338,10.241903,20.778519
1.0,-48.0,5.0228996,2.6022644,10.100507,20.631815
1.0,-47.0,5.4520226,2.9049683,9.938503,20.236576
1.0,-46.0,6.0141883,3.3454895,9.717366,20.37957
1.0,-45.0,7.8134413,4.6941223,9.702707,19.861414
1.0,-44.0,9.482346,6.7070007,9.64126,19.305464
1.0,-43.0,10.1779375,7.4207153,9.337829,19.041529
1.0,-42.0,10.626873,7.8825684,8.946732,18.634857
1.0,-41.0,11.33003,8.449219,8.585909,19.080727
1.0,-40.0,12.290799,8.909607,8.230017,18.263004
1.0,-39.0,13.618812,9.666687,7.937518,18.145859
1.0,-38.0,14.845117,10.34436,7.624766,17.86804
1.0,-37.0,15.775165,11.995544,7.2563066,18.11786
1.0,-36.0,16.59615,12.66507,6.8851204,19.250006
1.0,-35.0,17.396492,13.420654,6.5588565,17.219793
1.0,-34.0,18.115404,13.685974,6.2544446,16.928537
1.0,-33.0,18.667126,14.727753,5.975456,16.229206
1.0,-32.0,19.087072,15.649567,5.7345023,15.353055
1.0,-31.0,19.395992,15.907623,5.548364,15.764031
1.0,-30.0,19.684992,16.031738,5.4831557,14.936733
1.0,-29.0,19.968555,16.446838,5.5311236,14.026134
1.0,-28.0,20.155869,16.555817,5.641659,13.432497
1.0,-27.0,20.3183,16.831207,5.8261485,13.508142
1.0,-26.0,20.463865,16.944855,6.06701,13.878778
1.0,-25.0,20.58077,17.269867,6.313721,14.223132
1.0,-24.0,20.669912,17.1492,6.5655136,14.411336
1.0,-23.0,20.761024,17.15503,6.7933555,14.488057
1.0,-22.0,20.858864,17.410004,6.9778166,14.6224785
1.0,-21.0,20.951065,17.487854,7.110477,14.624027
1.0,-20.0,21.0514,17.337982,7.181382,14.571785
1.0,-19.0,21.165592,17.483948,7.209255,14.3811245
1.0,-18.0,21.312939,17.489777,7.1975346,14.252469
1.0,-17.0,21.44902,17.267914,7.124403,13.770409
1.0,-16.0,21.642733,17.439178,7.020241,13.217582
1.0,-15.0,21.939117,17.468384,6.9059186,12.934214
1.0,-14.0,22.364065,17.651337,6.7772,12.55924
1.0,-13.0,22.882149,18.86966,6.6304445,12.465793
1.0,-12.0,23.369978,19.644257,6.4628425,11.97846
1.0,-11.0,23.825714,19.914795,6.293457,11.481191
1.0,-10.0,24.251062,20.4617,6.1188817,10.920794
1.0,-9.0,24.622318,21.086273,5.9471574,10.5276165
1.0,-8.0,24.965416,21.383179,5.793549,10.041032
1.0,-7.0,25.297562,21.631561,5.6743755,9.774063
1.0,-6.0,25.576382,21.753815,5.571875,9.505851
1.0,-5.0,25.74859,21.7247,5.4582424,9.142807
1.0,-4.0,25.834694,21.616302,5.30786,8.800255
1.0,-3.0,25.932901,21.56955,5.127146,8.849065
1.0,-2.0,26.10869,21.690338,4.97714,8.999548
1.0,-1.0,26.463448,21.54065,4.8757586,9.003063
1.0,0.0,27.03652,22.141846,4.8123374,8.635989
1.0,1.0,27.563223,23.98413,4.686339,8.796182
1.0,2.0,27.848173,24.661652,4.5031676,8.999359
1.0,3.0,27.923761,23.904572,4.334525,9.098878
1.0,4.0,27.787748,22.915894,4.3286057,8.857005
1.0,5.0,27.598671,22.462402,4.6498256,8.845943
1.0,6.0,27.685556,23.056,3.8245893,6.954678
1.0,7.0,26.165361,21.844849,1.4056588,3.569392
1.0,8.0,26.564116,21.172607,1.0219039,2.8046384
1.0,9.0,26.027153,20.871643,1.2347114,3.4721427
1.0,10.0,27.720377,21.669983,1.6579094,4.0479746
1.0,11.0,30.264696,22.84201,2.486494,5.389197
1.0,12.0,30.40035,21.203491,2.662016,5.828303
1.0,13.0,30.029446,18.37259,2.480365,5.750869
1.0,14.0,30.506306,17.43924,3.0041792,6.7406197
1.0,15.0,32.228565,18.088196,3.3620615,7.447622
1.0,16.0,33.395226,17.77591,3.7960682,8.403074
1.0,17.0,32.095264,15.585907,3.7313654,9.039637
1.0,18.0,32.35458,15.298279,3.7179222,9.77406
1.0,19.0,32.068245,11.84491,3.7808957,10.111718
1.0,20.0,31.970177,11.947784,3.8320541,10.430762
1.0,21.0,30.35278,7.736328,3.478298,10.089293
1.0,22.0,29.518814,6.4258423,3.5156784,10.1222105
1.0,23.0,28.745802,6.1820374,3.4228842,9.332776
1.0,24.0,29.375988,6.122986,3.590271,9.878831
1.0,25.0,29.546453,5.987732,3.9931595,10.6777115
1.0,26.0,29.158836,6.538208,3.9843812,11.177516
1.0,27.0,28.246805,6.7477417,4.333949,11.856519
1.0,28.0,27.942562,6.0985107,4.384569,12.497518
1.0,29.0,26.607439,4.9133606,4.1664133,13.622811
1.0,30.0,23.188858,2.6296387,3.9443665,13.126143
1.0,31.0,22.823969,1.7194824,3.7086477,14.102819
1.0,32.0,22.260616,0.5634155,3.553993,13.776943
1.0,33.0,19.832888,-1.5040283,3.2997727,16.302734
1.0,34.0,16.857786,-5.634674,3.044072,12.617335
1.0,35.0,16.420414,-3.1507263,2.089744,9.11935
1.0,36.0,19.105717,-2.6159668,1.712859,7.820731
1.0,37.0,19.467003,13.106598,5.708084,17.871933
1.0,38.0,19.66694,12.662201,5.0216446,15.415316
1.0,39.0,19.49243,12.404114,4.238229,15.310298
1.0,40.0,19.125761,11.735382,4.056938,17.886396
1.0,41.0,17.786106,7.100769,2.9911137,12.688054
1.0,42.0,13.294536,-8.160919,1.2123283,6.153251
1.0,43.0,10.635461,-12.155212,1.2011325,5.447418
1.0,44.0,14.343812,-5.685913,2.5740814,10.625145
1.0,45.0,13.314543,-6.2892456,2.4095135,8.188965
1.0,46.0,12.006391,-8.346436,2.8115149,8.084801
1.0,47.0,12.568534,-8.140137,3.1776874,9.539555
1.0,48.0,11.711756,-9.296173,3.4671474,10.688984
1.0,49.0,11.082037,-9.975433,3.4291914,10.235411
1.0,50.0,11.976433,-0.5323181,4.928394,14.018979
1.0,51.0,11.935941,0.34848022,5.061156,14.67278
1.0,52.0,10.983017,-2.7117004,4.493056,13.457647
1.0,53.0,10.755714,3.2071228,6.354552,17.887844
1.0,54.0,10.4833355,3.9750977,6.8036823,17.334581
1.0,55.0,10.746035,4.0260315,7.1799855,18.02679
1.0,56.0,10.673939,4.496216,7.400317,18.061506
1.0,57.0,10.485039,4.9291687,7.4021187,19.557922
1.0,58.0,10.339265,5.0369263,7.5503397,20.283245
1.0,59.0,10.067081,5.123108,7.634848,20.34242
1.0,60.0,9.991016,5.4346313,7.668919,20.90802
1.0,61.0,10.167074,6.4071045,7.734057,21.677544
1.0,62.0,9.939586,6.8344116,7.836374,22.088896
1.0,63.0,9.393286,6.014557,7.916381,21.76506
1.0,64.0,8.670293,4.9476624,7.909267,21.836334
1.0,65.0,8.310648,4.712982,7.888904,21.985134
1.0,66.0,8.191892,4.603424,7.913911,21.670193
1.0,67.0,8.070478,4.6714478,7.9640517,21.89526
1.0,68.0,7.785683,3.7722473,7.9308043,22.486181
1.0,69.0,7.2138357,2.8730774,7.8615685,22.831003
1.0,70.0,6.772481,2.370575,7.824015,22.790075
1.0,71.0,6.430313,2.4518127,7.837627,22.728043
1.0,72.0,5.17743,1.2012634,7.7000713,22.232931
1.0,73.0,2.7687633,-1.8714294,7.3509035,20.548891
1.0,74.0,1.9031259,-3.4370117,7.2167554,19.871677
1.0,75.0,1.9338833,-1.9006958,7.17158,19.397831
1.0,76.0,2.21293,-1.8987427,7.1869984,19.672764
1.0,77.0,2.0882232,-1.68396,7.1561985,19.945534
1.0,78.0,2.0656388,-11.349884,7.220479,20.466341
1.0,79.0,-1.2154343,-20.56189,6.9198713,21.18643
1.0,80.0,-5.3892994,-29.203613,6.5114274,22.041733
1.0,81.0,-9.354222,-35.69565,6.1453247,21.55172
1.0,82.0,-10.763565,-37.033096,5.9571204,19.501028
1.0,83.0,-11.479468,-37.509125,5.8551865,18.957037
1.0,84.0,-11.976968,-37.616806,5.726472,18.758059
1.0,85.0,-12.390804,-37.375015,5.6187844,18.423954
1.0,86.0,-12.702802,-36.629242,5.520074,18.943048
1.0,87.0,-12.889892,-38.10051,5.4676986,19.471777
1.0,88.0,-13.071463,-37.86238,5.4498515,19.192911
1.0,89.0,-13.234187,-38.303314,5.44888,18.234705
1.0,90.0,-13.246645,-38.626266,0.3610948,12.171835
2.0,-90.0,-46.4445,-70.21959,0.5943188,9.768472
2.0,-89.0,-45.777843,-66.95068,6.5277085,15.011978
2.0,-88.0,-45.55037,-67.66318,6.6822166,15.494343
2.0,-87.0,-45.418636,-67.40994,7.3219514,16.472902
2.0,-86.0,-46.033463,-68.114716,6.9960375,16.244848
2.0,-85.0,-46.01021,-69.050644,6.763801,15.528136
2.0,-84.0,-44.788116,-66.2684,6.93218,15.224551
2.0,-83.0,-42.897655,-64.58276,7.1357403,15.482729
2.0,-82.0,-40.880646,-64.09381,6.5626593,14.921789
2.0,-81.0,-39.40089,-64.974396,7.825559,15.873293
2.0,-80.0,-40.25411,-64.77347,7.2858257,14.574181
2.0,-79.0,-40.924244,-66.73952,6.8890176,13.9217205
2.0,-78.0,-41.120766,-68.335205,6.5060863,14.795002
2.0,-77.0,-41.221542,-67.83484,6.6081247,17.96327
2.0,-76.0,-41.98101,-67.541306,6.3213625,19.267447
2.0,-75.0,-41.971542,-66.49524,5.8981442,19.334505
2.0,-74.0,-37.8247,-61.381134,7.3325725,22.959356
2.0,-73.0,-34.498158,-58.355225,7.530479,26.169554
2.0,-72.0,-27.417192,-51.69467,4.777437,19.840002
2.0,-71.0,-16.434038,-40.953537,7.011339,33.3531
2.0,-70.0,-13.181996,-40.37068,7.185433,28.769695
2.0,-69.0,-9.818468,-35.716064,6.9581685,24.3956
2.0,-68.0,-8.590916,-34.90245,6.6784406,21.511581
2.0,-67.0,-7.710633,-33.3304,6.5873265,21.430866
2.0,-66.0,-7.041177,-33.027252,6.6056466,19.92263
2.0,-65.0,-6.3254027,-32.89035,6.7822766,18.332293
2.0,-64.0,-5.5330033,-31.924255,7.0926056,19.683178
2.0,-63.0,-5.204779,-30.459488,7.3563375,21.083986
2.0,-62.0,-4.870345,-28.34584,7.6271257,20.667524
2.0,-61.0,-4.334168,-27.419754,7.922694,22.917856
2.0,-60.0,-3.711497,-25.424911,8.216609,23.03835
2.0,-59.0,-3.0362852,-25.02124,8.485285,22.297585
2.0,-58.0,-2.325476,-21.61055,8.735622,21.2325
2.0,-57.0,-1.5668905,-19.36316,9.000804,21.596916
2.0,-56.0,-0.93343073,-17.756363,9.219796,20.80261
2.0,-55.0,-0.5189813,-14.921173,9.405042,21.422989
2.0,-54.0,-0.13758989,-12.089874,9.549803,21.631296
2.0,-53.0,0.42723942,-4.1044006,9.680554,20.96024
2.0,-52.0,1.3733994,-0.9021301,9.863023,21.115124
2.0,-51.0,2.6139038,0.37252808,10.117995,20.84445
2.0,-50.0,3.3473542,1.1264954,10.151672,21.1165
2.0,-49.0,4.391869,2.1102905,10.194442,21.290155
2.0,-48.0,5.229273,2.9115906,10.18634,20.98896
2.0,-47.0,5.708314,3.1029053,10.036174,20.508545
2.0,-46.0,6.2211385,3.2288818,9.788995,20.53017
2.0,-45.0,8.160444,5.250458,9.817348,20.074736
